COD,GENERO,PESO,ALTURA
7033,F,58.76,1.65
9060,M,81.44,1.92
669,F,74.88,1.68
2898,M,66.19,1.81
4698,M,72.9,1.82
3873,M,72.26,1.76
2843,F,64.96,1.78
3985,F,79.54,1.63
6633,F,64.62,1.68
8349,F,71.67,1.67
5992,F,71.03,1.73
5218,M,74.8,1.86
8426,F,42.56,1.74
143,M,62.72,1.92
2664,F,58.59,1.63
7601,F,65.71,1.68
2219,F,70.77,1.45
6907,F,71.15,1.75
5179,M,70.0,1.87
3467,F,55.28,1.64
2876,F,65.78,1.57
9660,F,51.34,1.75
253,F,61.69,1.71
9250,M,75.87,1.71
7998,M,64.49,1.69
9317,F,71.67,1.79
1448,F,58.63,1.58
99,M,81.6,1.64
6393,F,53.61,1.66
2659,F,50.68,1.54
6111,F,77.11,1.86
1659,M,81.0,1.57
4132,F,74.02,1.68
5665,M,71.41,1.72
7556,F,72.24,1.67
3032,M,79.23,1.79
9374,M,87.22,1.69
644,M,81.2,1.97
7134,M,71.79,1.7
3528,F,72.67,1.32
5174,M,75.44,1.85
9288,F,69.42,1.63
7440,M,55.01,1.84
6494,F,63.33,1.74
9470,F,77.87,1.58
9641,M,81.63,1.81
4571,M,86.53,1.83
9160,M,65.94,1.81
8482,F,80.81,1.52
9960,F,61.0,1.85
9879,F,65.37,1.79
331,M,77.77,1.74
6782,M,78.02,1.83
5255,F,72.45,1.56
2576,M,69.2,1.76
537,F,67.56,1.54
7609,F,67.83,1.63
8746,M,91.5,1.82
112,F,68.18,1.72
8023,F,74.74,1.74
93,M,68.14,1.74
9859,M,82.92,1.68
1576,M,75.25,1.64
4025,F,58.83,1.76
7864,F,67.17,1.58
435,M,67.69,1.85
2245,M,71.97,1.93
5557,M,80.96,1.82
4143,M,95.51,1.55
7438,F,59.31,1.85
2078,F,60.91,1.77
198,F,56.92,1.54
3114,M,69.82,1.87
9900,M,91.08,1.77
6087,F,60.24,1.73
4890,F,62.88,1.51
729,F,68.08,1.66
808,M,77.36,1.83
61,M,77.35,1.76
4784,M,82.62,1.87
8578,F,64.36,1.57
856,F,77.05,1.87
5221,F,52.38,1.78
7811,F,69.84,1.8
9572,M,61.19,1.88
4955,F,67.35,1.7
5677,M,72.91,1.78
9984,F,55.31,1.63
3487,M,70.54,1.88
9409,M,84.44,1.73
3625,F,78.43,1.68
3808,M,83.16,1.82
6513,M,87.31,1.69
826,F,56.08,1.55
755,F,57.33,1.72
8926,M,70.24,1.84
4463,F,75.79,1.76
5733,F,59.02,1.65
7634,M,70.03,1.89
7806,F,57.13,1.66
210,F,70.22,1.63
8938,M,72.13,1.71
7248,M,98.53,1.95
4836,F,64.57,1.63
8429,M,75.38,1.76
5065,F,57.66,1.78
5389,F,64.66,1.47
6913,M,74.11,1.71
2082,F,73.05,1.61
1491,M,52.9,1.93
5355,M,62.88,1.87
6907,M,59.38,1.64
7364,M,69.15,1.77
400,M,67.85,1.78
5051,F,61.76,1.63
7957,F,68.76,1.6
291,F,69.8,1.67
786,F,53.12,1.78
7580,M,70.51,1.86
8249,F,74.24,1.67
9817,M,69.21,1.73
7741,M,93.25,1.87
1370,M,82.01,1.78
5732,M,72.14,1.77
7393,M,74.57,1.9
6097,F,60.98,1.77
9313,F,44.79,1.5
2387,F,76.47,1.62
2113,F,74.55,1.67
4171,M,62.29,1.84
2103,M,60.78,1.63
4553,M,72.55,1.95
3812,M,79.6,1.83
6111,F,74.49,1.79
8777,M,83.54,1.82
4792,M,77.6,1.82
9871,F,60.86,1.59
8602,F,57.79,1.7
4523,F,67.09,1.71
35,F,80.45,1.67
6517,F,59.04,1.61
3085,F,55.9,1.46
3062,F,59.96,1.63
7673,F,62.49,1.47
1817,M,72.78,1.77
5990,M,73.1,1.76
6217,M,69.69,1.92
6701,F,65.34,1.69
3443,M,80.35,1.86
3324,M,82.58,1.94
553,M,90.71,1.81
1273,M,68.63,1.75
4753,F,66.03,1.66
9455,M,65.19,1.81
7722,F,60.38,1.75
659,M,80.41,1.92
816,M,66.58,1.74
227,M,72.98,1.69
4652,M,71.36,1.68
8255,M,55.67,1.82
7818,F,66.14,1.82
2870,F,59.8,1.64
4245,M,87.03,1.9
6914,M,77.7,1.83
2199,F,61.68,1.69
7579,M,78.07,1.85
4515,M,79.08,1.64
4683,F,45.04,1.72
5038,M,67.54,1.74
4501,M,80.23,1.74
7662,F,74.43,1.62
5694,F,55.58,1.59
8688,F,49.06,1.7
3440,F,55.97,1.71
973,M,98.15,1.66
8943,M,89.64,1.84
8709,M,76.95,1.77
1041,M,59.3,1.85
6818,F,42.47,1.68
3475,M,66.35,1.72
2159,F,65.98,1.7
4055,F,68.07,1.55
2862,M,83.91,1.88
2463,M,77.78,1.62
3135,M,70.65,1.86
1123,M,73.75,2.07
3922,F,55.11,1.67
5875,M,82.65,1.76
3027,F,57.03,1.74
3398,F,52.06,1.57
807,F,59.06,1.77
6705,M,84.08,1.57
8109,M,62.26,1.67
1600,F,64.15,1.56
7123,F,62.14,1.79
3825,M,67.03,1.74
6430,F,61.57,1.7
3395,M,85.42,1.73
5016,M,65.3,1.74
3974,M,70.55,1.84
4305,F,56.27,1.76
5066,F,51.31,1.82
4454,M,71.48,1.84
52,M,68.41,1.99
9437,F,62.17,1.65
8733,F,54.93,1.73
3000,F,63.49,1.71
5912,M,71.62,1.71
8954,M,64.91,1.71
6577,M,78.48,1.92
1003,F,59.23,1.73
1096,M,66.71,1.69
398,M,69.44,1.74
4765,M,90.99,1.76
9753,M,76.38,1.82
5989,M,67.7,1.72
7360,F,58.94,1.66
8808,M,84.59,1.85
1014,F,58.08,1.82
8605,F,85.1,1.69
1679,F,56.37,1.55
1233,F,60.16,1.74
4645,F,69.08,1.78
7010,M,93.8,1.82
1509,F,45.9,1.5
2617,F,74.02,1.65
6815,F,55.02,1.55
8930,F,71.04,1.86
7193,F,60.97,1.87
6104,F,68.74,1.83
2199,M,72.06,1.89
1151,F,61.22,1.82
3639,M,70.77,1.7
6526,M,58.08,1.76
4978,M,63.07,1.61
9295,F,59.11,1.76
6064,F,59.65,1.6
1820,F,69.43,1.67
3085,M,68.5,1.83
1656,M,72.66,1.91
4868,M,78.04,1.86
2401,F,60.68,1.43
6226,F,54.22,1.74
1574,F,67.9,1.52
3173,M,85.63,1.68
8029,M,75.75,1.79
163,M,68.81,1.63
5696,M,86.31,1.7
1154,F,67.86,1.7
3686,M,61.73,1.63
364,M,88.13,1.72
8022,F,56.26,1.97
8584,F,78.6,1.51
9154,F,46.18,1.8
5279,F,79.5,1.78
5543,M,51.33,1.96
7664,F,74.35,1.82
5854,F,59.83,1.68
6351,M,74.68,1.75
1908,M,83.0,1.77
3129,F,68.77,1.65
3355,F,55.98,1.71
5425,F,58.93,1.64
9165,F,65.74,1.55
1633,F,69.23,1.59
5966,F,68.93,1.61
7272,M,76.63,1.74
9407,F,67.64,1.76
5328,M,83.04,1.65
4176,F,61.19,1.86
8447,F,68.6,1.53
4618,M,74.17,1.75
6724,M,74.39,1.66
2720,M,69.05,1.61
6806,M,83.38,1.78
9466,M,85.13,1.72
8162,F,57.03,1.68
4384,F,71.56,1.59
6698,F,71.9,1.8
9075,F,59.65,1.59
8522,F,73.49,1.79
6361,M,62.11,1.8
2371,M,84.1,1.92
158,M,72.6,1.86
3694,M,79.8,1.64
8450,M,88.7,1.81
8876,M,60.99,1.71
1060,F,70.8,1.52
2633,M,70.08,1.72
2437,F,54.11,1.71
651,M,55.01,1.75
1598,M,67.52,1.71
4937,M,86.25,1.82
4151,M,86.85,1.99
4349,M,57.12,1.62
718,F,72.97,1.69
5353,M,77.22,1.73
8149,F,68.51,1.77
8088,F,59.82,1.81
5973,M,73.15,1.85
9988,M,64.51,1.92
7721,M,90.53,1.62
8957,F,77.79,1.75
6317,F,70.41,1.77
6810,F,63.88,1.7
7431,F,58.44,1.73
8014,M,67.4,1.81
3818,M,73.34,1.87
7249,F,58.43,1.58
6836,F,58.71,1.81
222,M,76.76,1.85
9135,M,87.79,1.74
9429,F,66.22,1.65
226,M,84.25,1.72
6210,F,78.85,1.62
7144,M,62.12,1.67
4573,M,70.52,1.85
5403,M,82.13,1.7
6829,F,61.72,1.71
8183,M,75.66,1.82
6670,F,72.48,1.63
9771,M,93.84,1.71
9183,F,66.25,1.79
5891,M,107.41,1.69
1369,M,69.51,1.98
7252,F,71.01,1.62
8301,F,57.06,1.63
9086,F,57.17,1.76
1862,F,57.03,1.65
1700,F,67.73,1.53
7696,M,82.94,1.83
6426,F,64.7,1.56
3488,F,66.24,1.65
6805,F,52.86,1.72
2505,F,76.0,1.66
835,M,77.93,1.65
285,M,61.54,2.09
7415,M,70.2,1.7
9582,F,74.79,1.59
3751,M,83.19,1.67
9296,M,76.47,1.82
2169,M,65.08,1.67
9766,F,62.98,1.79
3621,M,77.47,1.88
1602,F,62.35,1.48
3771,F,57.03,1.75
7621,M,84.07,1.75
4744,M,57.56,1.82
439,M,67.06,1.88
2206,F,71.92,1.64
6459,F,78.82,1.8
2742,M,60.1,1.71
3918,M,63.44,1.82
4511,F,63.94,1.71
8680,M,82.92,1.89
9705,F,66.16,1.71
6665,F,59.04,1.65
2873,F,56.6,1.75
4710,F,68.93,1.81
9483,F,60.27,1.81
7635,F,56.99,1.63
9680,M,75.14,1.84
1503,M,89.8,1.91
9927,F,54.73,1.7
4386,F,67.76,1.69
521,F,58.62,1.78
7445,F,72.27,1.54
6317,F,70.08,1.69
7198,F,69.54,1.73
6553,F,67.85,1.79
5852,M,75.68,1.9
5406,F,58.6,1.43
2708,M,66.76,1.87
851,M,87.47,1.71
9507,M,68.74,2.02
8401,M,81.41,2.01
6966,M,84.4,1.74
1028,F,62.22,1.81
2742,F,60.19,1.72
7298,F,81.54,1.53
2105,F,78.55,1.64
2804,M,85.76,1.72
9139,F,71.13,1.78
2407,M,69.47,1.72
478,F,57.01,1.8
5612,F,55.49,1.74
5139,F,62.25,1.67
3439,M,72.54,1.91
2616,F,62.52,1.67
1490,M,83.47,1.9
3636,F,72.58,1.69
6299,M,75.7,1.79
2828,M,76.76,1.57
6025,M,83.19,1.99
6945,F,68.91,1.82
5732,F,64.23,1.83
4180,F,69.68,1.55
353,M,61.39,1.75
3221,M,66.7,1.88
7346,F,71.09,1.81
737,M,80.34,1.83
3797,F,48.62,1.63
6357,F,70.6,1.59
8137,M,62.0,1.65
7947,M,77.54,1.83
7214,M,70.45,1.89
7523,F,54.63,1.85
3099,M,80.02,1.81
2643,M,53.27,1.86
2142,M,80.39,1.76
9945,F,58.25,1.51
9920,M,71.19,1.75
25,F,79.72,1.56
7547,F,57.96,1.72
2731,M,68.86,1.79
7828,M,88.16,1.82
4877,M,84.16,1.87
2758,M,85.84,1.58
8140,M,79.61,1.64
6827,F,60.93,1.62
893,F,52.42,1.76
9078,M,82.23,1.84
1394,M,80.05,1.88
9543,F,63.91,1.8
3753,F,69.7,1.82
5450,F,66.19,1.67
7201,F,69.61,1.6
3633,F,62.07,1.91
5624,F,68.48,1.6
3601,M,70.33,1.89
8259,M,69.51,1.84
8995,F,61.07,1.71
949,M,71.95,1.82
4188,F,60.51,1.73
3237,F,58.87,1.66
6597,M,87.85,1.62
4400,F,80.65,1.55
6834,F,64.91,1.61
3462,F,62.11,1.53
3781,M,70.15,1.83
6520,F,63.8,1.77
3354,M,83.06,1.77
1425,M,75.24,1.7
4766,M,49.41,1.65
7928,M,64.16,1.78
7532,F,70.61,1.86
9514,M,65.56,1.79
404,F,58.03,1.56
4820,M,72.83,1.76
8903,M,70.74,1.77
1431,M,93.31,1.85
9835,M,71.15,1.64
3435,M,76.02,1.91
8991,F,64.76,1.59
7555,F,62.35,1.65
389,M,69.55,1.79
9343,M,68.38,1.74
4646,M,78.83,1.81
4211,M,77.49,1.9
8554,F,62.09,1.63
6072,F,58.5,1.71
5158,M,56.34,1.66
8745,F,66.96,1.55
9947,F,57.28,1.71
8651,M,77.09,2.0
9113,F,63.83,1.85
567,M,83.45,1.83
4978,F,60.84,1.57
3815,F,81.25,1.69
9090,M,71.91,1.85
5360,F,55.83,1.91
6587,M,61.83,1.92
1102,M,84.87,1.88
8653,M,80.63,1.7
7582,M,63.74,1.82
8183,F,73.07,1.66
8019,F,72.34,1.69
6142,F,72.2,1.75
8624,M,65.12,1.85
4337,M,80.52,1.79
7323,M,62.51,1.73
9093,F,56.4,1.65
8041,F,56.18,1.62
163,M,73.44,1.8
1464,M,71.36,1.84
1258,M,64.81,1.83
6278,M,80.73,1.59
9370,M,70.57,1.93
8315,F,73.62,1.96
2394,F,64.7,1.59
9272,M,64.66,1.62
7718,M,96.36,1.85
1245,F,69.95,1.64
5155,F,77.72,1.55
4959,F,66.16,1.89
3814,M,91.2,1.72
38,F,63.17,1.8
599,M,74.21,1.82
978,M,73.4,1.68
2855,F,57.32,1.7
3260,M,70.19,1.73
7052,F,61.47,1.77
9755,M,70.07,1.83
5773,M,72.24,1.77
5894,F,70.01,1.85
6679,F,58.21,1.7
454,F,57.79,1.67
4002,M,69.23,1.86
4404,F,69.68,1.75
4353,M,72.28,1.74
4922,F,80.56,1.74
7909,F,65.53,1.44
5536,M,80.72,1.84
5082,M,84.91,1.75
4223,M,61.88,1.79
9520,F,59.04,1.65
6887,F,57.31,1.52
4440,F,65.84,1.71
4858,M,71.57,1.77
9293,F,57.2,1.57
7486,M,77.9,1.88
6919,M,59.89,2.01
5084,F,61.15,1.46
2013,F,63.17,1.59
987,F,70.77,1.72
479,F,58.52,1.69
2707,M,77.73,1.75
4125,F,82.37,1.54
7541,M,87.28,1.94
5739,F,59.5,1.62
9311,M,75.67,1.64
4581,F,73.99,1.79
6008,F,65.86,1.54
6395,F,65.5,1.86
5371,F,63.2,1.55
3895,F,66.89,1.59
3068,F,84.4,1.76
4587,F,72.47,1.69
2516,M,75.44,1.73
3475,F,76.27,1.81
4036,M,66.68,1.73
7180,M,70.51,1.89
7998,M,69.79,1.86
110,F,62.56,1.92
521,F,75.99,1.46
2092,F,78.84,1.7
4236,F,74.01,1.79
8207,M,67.86,1.72
6899,M,74.75,1.7
3549,F,63.35,1.64
3637,M,93.13,1.77
6026,F,53.13,1.88
3996,F,71.06,1.8
4010,M,70.48,1.82
3638,M,79.63,1.8
5597,F,66.8,1.64
1563,F,65.24,1.68
3946,F,77.76,1.92
9574,F,63.64,1.55
5388,F,62.55,1.58
3412,M,82.48,1.84
6075,F,59.67,1.68
8320,M,69.17,1.72
1853,F,58.6,1.79
619,M,66.17,1.76
6250,M,65.87,1.86
8630,M,75.53,1.94
2803,F,69.49,1.89
9687,F,57.15,1.76
2548,F,62.99,1.63
4155,M,94.13,1.69
4694,M,83.9,1.81
8783,M,80.56,1.92
4669,M,75.59,1.78
6483,F,51.91,1.59
5006,M,71.9,1.84
3976,F,71.73,1.73
4431,F,69.17,1.98
5747,F,60.74,1.75
8286,F,60.22,1.55
6612,M,51.41,1.84
1638,F,57.65,1.68
1451,F,68.94,1.62
939,F,75.44,1.79
9838,M,54.91,1.92
6371,F,59.59,1.8
6787,F,63.85,1.51
5744,M,63.96,1.82
8926,F,57.21,1.76
1664,F,69.87,1.86
7234,M,73.79,1.94
8715,M,84.71,1.69
1931,M,88.52,1.89
4335,F,56.09,1.92
3,F,66.48,1.83
9376,M,95.28,1.93
205,F,71.76,1.59
2951,F,54.34,1.71
1900,M,80.81,1.76
4978,F,68.65,1.61
776,F,56.04,1.65
8995,F,64.91,1.71
2317,M,85.75,1.91
253,F,52.9,1.66
9572,F,63.89,1.78
6246,F,62.39,1.74
1216,M,89.62,1.66
6790,F,63.23,1.63
1119,F,77.26,1.86
4661,F,65.11,1.65
6985,M,74.46,1.79
1378,F,79.99,1.68
7281,F,62.49,1.61
5627,M,68.39,1.85
5014,M,103.61,1.69
7464,F,70.81,1.64
139,F,61.33,1.79
6034,M,59.64,1.77
6218,F,61.51,1.8
1220,M,73.39,1.87
8259,M,82.52,1.79
2570,M,87.26,1.77
2904,F,66.85,1.74
2275,M,68.49,1.69
4865,F,63.27,1.66
9594,F,60.38,1.74
3316,F,54.25,1.74
9282,F,73.97,1.61
3334,M,81.82,1.88
5885,M,86.1,1.85
6199,F,62.36,1.52
6515,F,65.34,1.89
7017,M,67.84,1.91
881,F,48.55,1.87
4252,M,66.65,1.64
8126,M,60.58,1.7
5876,F,74.94,1.84
1305,F,55.94,1.7
1402,F,65.56,1.78
5449,M,70.61,1.9
962,F,71.46,1.57
7021,M,83.39,1.79
8321,M,77.02,1.72
9620,F,60.52,1.84
4026,F,66.22,1.7
5684,F,80.41,1.74
1892,F,59.54,1.78
1977,F,60.7,1.74
6632,F,60.34,1.58
4880,F,69.33,1.69
7078,M,81.66,1.86
5893,F,68.85,1.68
5316,M,78.9,1.74
5240,F,52.74,1.55
8370,F,74.23,1.57
3139,M,58.18,1.77
2389,F,72.08,1.67
1420,M,63.18,2.0
3724,M,94.77,1.6
7180,M,75.94,2.02
5058,M,75.67,1.82
1823,F,57.67,1.56
7829,M,87.74,2.01
8711,M,81.36,1.76
4982,M,69.13,1.84
6409,F,61.87,1.6
2970,M,81.1,1.59
4573,F,57.23,1.65
4671,M,61.08,1.82
5679,F,70.49,1.64
7799,M,89.3,1.64
972,M,66.86,1.81
7977,F,67.53,1.5
7680,M,69.59,1.69
6115,M,70.58,1.86
2017,M,61.88,1.74
116,M,72.87,1.7
6356,M,69.9,1.75
5735,F,71.71,1.81
6541,F,72.19,1.57
3700,M,71.57,1.75
6970,F,53.49,1.67
3621,M,81.18,1.77
9946,F,63.45,1.76
8423,M,77.39,1.96
9082,F,71.9,1.77
8974,F,75.31,1.77
1307,M,74.36,1.6
695,M,62.69,1.83
7789,F,65.18,1.71
5509,M,85.45,1.87
4456,M,76.7,1.81
1800,F,66.19,1.71
9045,M,78.98,1.75
3192,M,63.35,1.68
5158,M,68.0,1.57
8205,F,68.36,1.65
3648,F,74.97,1.57
4150,F,68.77,1.61
5851,F,59.29,1.71
6914,M,77.03,1.78
4031,F,60.48,1.67
1915,M,61.49,1.73
845,M,81.96,1.71
9429,M,69.0,1.94
4783,M,83.38,1.76
7928,F,76.16,1.86
7560,M,82.18,1.73
7758,F,71.86,1.92
3672,M,74.36,1.88
747,M,89.03,1.68
3927,F,64.17,1.93
5499,F,72.16,1.62
3056,M,68.28,1.83
1343,F,67.62,1.58
7850,F,60.62,1.65
9258,F,67.06,1.81
2717,F,78.04,1.77
4667,M,78.21,1.92
2473,M,81.75,1.73
7673,F,67.09,1.7
9221,F,66.44,1.84
2462,M,75.35,1.82
2082,M,77.07,1.61
8569,F,71.09,1.74
1617,F,64.08,1.68
9519,F,66.16,1.67
4078,M,79.99,1.85
242,F,78.08,1.82
5109,M,70.51,1.64
9957,M,75.2,1.75
5756,F,67.56,1.75
5869,M,63.86,1.72
3322,M,73.6,1.81
258,M,84.22,1.73
8965,M,69.79,1.73
5068,F,77.91,1.65
8099,M,67.11,1.52
8676,M,95.91,1.76
3104,M,66.3,1.57
6859,M,81.24,1.76
6790,F,65.87,1.78
4866,F,67.06,1.55
5661,F,69.22,1.89
6737,M,67.38,1.81
3847,M,78.79,1.77
3262,M,82.53,1.71
7846,M,63.68,1.89
8345,M,77.88,1.78
8710,F,56.42,1.78
7382,F,73.66,1.66
7841,M,97.01,1.77
1916,F,63.66,1.8
3732,M,75.0,1.79
8845,M,71.6,1.64
8299,M,93.1,1.67
3452,M,74.43,2.0
3573,F,58.13,1.71
5452,M,69.41,1.84
5390,M,80.79,1.8
9776,F,66.3,1.59
5402,M,68.01,1.82
7761,M,89.42,1.8
1296,F,66.04,1.67
7193,F,77.15,1.75
7957,F,67.19,1.65
6644,F,58.85,1.52
2031,F,62.38,1.69
4464,M,77.96,1.81
6627,F,54.64,1.77
658,F,77.46,1.6
2652,F,54.73,1.65
6019,M,85.45,1.69
8665,F,66.1,1.76
5546,F,56.06,1.63
5166,F,67.1,1.69
8506,M,80.79,1.54
4754,M,101.93,1.74
2363,M,66.74,1.88
4103,M,67.49,1.78
5624,F,60.59,1.71
1815,F,68.11,1.73
1026,F,59.42,1.73
6993,F,67.96,1.74
2910,F,72.98,1.68
2945,F,65.79,1.52
9171,F,59.92,1.61
9000,M,80.03,1.98
4188,M,81.73,1.6
2806,F,65.79,1.51
776,M,73.92,1.83
1072,M,77.42,1.9
3368,F,64.81,1.6
6754,M,68.08,1.54
1790,M,81.24,1.65
8859,F,78.31,1.58
9044,F,63.27,1.56
7395,F,64.12,1.67
4111,M,71.21,1.58
4645,M,58.91,1.78
2345,F,59.64,1.61
8051,M,76.4,1.97
7720,F,62.11,1.72
676,M,83.73,1.82
1307,M,82.79,1.91
7071,F,70.69,1.55
5986,F,62.27,1.91
7786,F,70.45,1.63
9067,M,93.16,1.74
3505,M,68.93,1.73
650,F,59.66,1.61
8483,M,74.64,1.6
8745,F,56.25,1.57
5113,F,69.74,1.78
1013,M,53.34,1.68
9157,F,75.05,1.67
46,F,74.44,1.81
8539,F,78.67,1.59
356,M,72.88,1.87
9093,M,93.36,1.85
9367,F,59.44,1.53
3089,M,70.24,1.72
4859,M,76.3,1.83
9383,F,62.92,1.63
7065,F,62.01,1.65
1352,M,63.29,1.87
5603,F,63.85,1.71
4971,M,51.37,1.83
2382,M,91.5,1.74
7378,M,64.24,1.83
7787,F,59.69,1.61
6764,F,53.49,1.64
5266,F,72.23,1.56
5239,F,60.89,1.61
7205,F,63.44,1.83
1143,F,67.03,1.58
2193,F,49.84,1.7
3099,M,76.89,1.59
7545,F,65.13,1.53
9521,M,65.91,1.56
5737,M,82.71,1.95
278,F,64.57,1.59
1736,M,72.59,1.75
6603,M,68.42,1.79
7572,F,67.96,1.49
1790,M,69.89,1.72
9768,M,68.93,1.62
4645,M,50.85,1.77
9723,F,53.3,1.81
3523,M,79.18,1.84
7375,F,57.05,1.79
1903,F,59.26,1.61
3575,M,83.87,1.8
6518,F,61.03,1.7
6834,F,73.95,1.67
4423,F,61.23,1.83
3217,M,66.73,2.01
5860,F,62.7,1.59
3712,F,71.96,1.6
9009,F,69.28,1.82
3876,F,72.68,1.77
990,F,70.05,1.77
7341,F,77.43,1.72
203,M,64.21,1.72
5542,F,60.89,1.65
6556,F,60.84,1.77
5517,M,69.46,1.82
9095,F,75.49,1.75
8059,M,94.45,1.83
4444,M,80.61,1.81
2036,M,62.48,1.66
1596,F,72.42,1.82
5664,F,62.26,1.64
9184,F,75.82,1.52
7225,M,81.53,1.69
9803,F,61.83,1.55
5225,M,58.69,1.67
1192,M,70.52,1.85
651,F,82.38,1.72
2441,M,56.34,1.76
2405,M,83.24,1.69
1372,M,75.21,1.69
4053,F,75.77,1.51
4380,M,83.66,1.68
8788,F,58.95,1.84
3991,M,53.55,1.82
2227,M,79.27,1.53
3493,M,81.15,1.83
7712,F,62.1,1.76
6196,F,53.25,1.8
8967,F,59.12,1.74
7674,F,70.51,1.77
3485,F,51.51,1.55
4696,F,63.97,1.89
8720,F,75.88,1.68
3355,M,95.85,1.86
2420,M,87.01,1.87
4158,F,64.88,1.81
280,F,68.55,1.53
2637,M,98.58,1.77
251,M,57.48,1.97
5900,M,73.13,1.82
1653,F,62.66,1.55
5918,M,79.46,1.74
5369,M,81.06,1.87
7737,M,86.26,1.9
2274,M,77.52,1.94
7122,M,69.83,1.76
8092,M,60.02,1.94
1292,M,92.34,1.7
5887,M,94.17,1.85
1499,F,66.33,1.62
1987,F,68.53,1.86
4962,M,66.46,1.77
4660,F,54.42,1.58
3548,M,54.05,1.71
9712,M,82.74,1.81
8335,F,59.67,1.74
4525,M,61.32,1.73
287,F,65.21,1.64
8527,F,61.75,1.8
8657,F,63.32,1.59
7285,F,50.31,1.72
7527,F,78.85,1.79
1458,M,78.0,1.87
6470,M,83.78,1.83
8745,F,61.18,1.88
805,F,64.33,1.67
9917,M,76.02,1.73
8496,F,56.22,1.47
98,F,64.18,1.73
8048,M,75.61,1.94
8374,F,64.73,1.64
9176,M,102.21,1.8
9889,F,67.45,1.67
2052,M,80.19,1.75
965,M,80.12,1.66
7147,F,71.87,1.79
7251,M,70.75,1.97
9568,F,63.59,1.72
4634,F,69.57,1.78
1615,F,63.22,1.76
6581,M,92.56,1.79
454,F,62.97,1.59
9540,M,74.25,1.8
5473,F,76.34,1.59
4557,M,81.84,1.8
3013,M,73.39,1.76
878,M,75.47,1.76
6095,M,67.17,1.76
2738,M,90.28,1.79
5553,F,76.79,1.68
4527,M,58.21,1.84
8840,F,70.49,1.71
6527,F,47.12,1.86
3703,M,74.88,1.93
9098,M,77.74,1.69
4223,M,54.48,1.73
8911,F,70.68,1.81
8110,M,71.9,1.77
7064,M,83.36,1.78
5759,F,68.28,1.74
4842,M,86.73,1.85
1546,M,81.32,1.68
7194,F,66.87,1.75
6581,F,74.1,1.72
6022,M,79.5,1.72
6155,F,63.72,1.63
7663,M,84.21,1.76
4155,F,55.39,1.59
6465,M,68.18,1.76
4481,M,84.86,1.81
329,M,62.64,1.9
6260,M,59.7,1.72
5110,F,61.09,1.7
6852,M,62.39,1.9
1418,F,54.29,1.71
9659,F,49.86,1.74
814,F,60.03,1.55
7445,M,68.9,1.87
9084,F,67.17,1.68
9480,M,96.64,1.72
8155,M,83.64,1.68
3717,M,68.51,1.84
4386,M,67.08,1.64
9523,M,72.16,1.81
9863,F,74.69,1.54
7951,M,72.96,1.73
4262,M,76.15,1.82
8630,M,83.67,1.95
5421,F,51.69,1.76
8769,M,82.09,1.94
974,F,70.76,1.68
7353,M,65.62,1.83
9960,F,75.7,1.66
7975,M,86.38,1.69
2589,F,50.59,1.59
4102,F,65.99,1.69
3901,F,62.83,1.9
3192,M,61.0,1.92
3979,M,66.65,1.9
2486,F,67.49,1.69
6469,M,93.2,1.76
4798,F,51.38,1.77
6026,F,54.85,1.66
6142,F,55.27,1.64
1021,M,86.19,1.94
855,F,55.18,1.74
111,F,64.16,1.62
8204,M,71.95,1.73
3791,F,63.13,1.7
6116,M,66.64,1.75
7228,M,78.64,1.88
479,M,75.5,1.74
4716,M,78.83,1.75
9187,F,74.08,1.57
5577,F,69.74,1.64
1964,M,62.85,1.88
5201,F,43.12,1.66
7972,F,63.0,1.4
9292,M,71.28,1.92
2173,M,77.29,1.84
6984,M,75.49,2.0
8427,F,67.05,1.65
6512,F,71.14,1.61
2983,M,64.81,1.77
6765,M,68.09,1.8
219,M,70.25,1.76
6670,F,52.27,1.67
1662,M,76.71,1.7
7355,F,64.97,1.69
1034,M,68.86,1.71
5932,M,86.31,1.7
6938,M,77.88,1.76
2456,M,75.75,1.83
3935,F,66.12,1.68
5754,M,59.71,1.67
2776,F,67.03,1.79
8296,F,69.86,1.79
8777,M,77.54,1.79
6378,M,68.23,1.85
5254,F,69.9,1.74
5627,F,62.93,1.89
7052,M,60.26,1.82
5375,M,78.86,1.86
2002,F,62.43,1.55
2521,F,72.16,1.72
2109,M,73.11,1.77
6537,M,84.07,1.74
9452,F,64.47,1.6
4045,M,65.6,1.75
9308,M,61.77,1.84
188,M,80.16,1.75
7228,M,80.49,1.83
9706,F,59.94,1.67
6764,M,75.26,1.89
7435,M,65.18,1.72
38,M,76.54,1.84
9498,F,51.53,1.63
5621,M,81.44,1.79
7109,F,63.36,1.58
2669,M,78.6,1.8
6658,M,72.47,1.89
3415,F,65.55,1.72
1305,M,80.54,1.77
4516,F,57.79,1.54
1420,M,68.67,1.69
5866,F,61.55,1.77
2719,M,63.64,1.94
5362,M,68.8,1.76
6985,M,84.4,1.93
6362,M,78.28,1.86
391,F,61.74,1.72
7729,F,62.53,1.7
3423,F,66.63,1.63
9945,F,62.51,1.66
2502,F,60.9,1.66
8477,M,79.3,1.93
3796,F,57.0,1.61
4865,M,58.16,1.84
3200,M,73.02,1.95
323,F,63.79,1.63
9948,F,61.12,1.66
